Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Esquerdinha,BRA,DF,Fluminense,17,1.4,0,0,0,1,1,0,9,0,0,,,0
Lucas Esquivel,ARG,DF,Athletico Paranaense,22,30.2,5,1,1,32,24,1,133,39,49,,,0
Lucas Esteves,BRA,DF,VitГіria,23,32.6,10,0,0,36,27,11,120,39,42,,,0
Guilherme Estrella,BRA,MF,Vasco da Gama,18,1.6,1,0,0,4,4,0,2,3,1,,,0
Oscar EstupiГ±an,COL,FW,Bahia,27,2.8,1,0,0,5,1,1,0,1,1,,,0
Vitor Eudes,BRA,GK,Fluminense,25,1.0,0,0,0,0,1,0,0,0,0,,,0
Lucas Evangelista,BRA,MF,RB Bragantino,28,28.2,4,0,0,31,62,4,35,24,29,,,0
Everaldo,BRA,MF,VitГіria,29,4.7,3,0,0,15,15,0,22,2,4,,,0
Г‰verson,BRA,GK,AtlГ©tico Mineiro,33,24.9,6,1,0,1,5,0,0,0,1,,,0
Everton,BRA,"FW,MF",GrГЄmio,26,5.1,4,0,0,8,8,1,2,1,5,,,0
Everton,BRA,FW,RB Bragantino,21,0.3,1,0,0,1,2,0,0,0,0,,,0
Evertton,BRA,MF,Flamengo,20,8.9,3,0,0,14,6,0,3,15,15,,,0
Ewerton,BRA,"DF,MF",Juventude,23,13.2,1,0,0,6,11,1,35,20,19,,,0
Fabiano,BRA,FW,Botafogo (RJ),17,0.2,0,0,0,0,3,0,0,0,2,,,0
Bruno Fabiano Alves,BRA,DF,CuiabГЎ,32,22.4,3,0,0,15,17,0,1,31,13,,,0
Fabinho,BRA,MF,Palmeiras,21,5.7,2,0,0,7,8,0,1,5,5,,,0
FГЎbio,BRA,GK,Fluminense,43,37.0,4,0,0,1,5,0,0,2,1,,,0
FГЎbio,BRA,"DF,MF",GrГЄmio,33,7.5,1,1,0,6,14,0,21,5,7,,,0
FabrГ­cio,BRA,GK,Internacional,38,8.0,0,0,0,0,0,0,0,0,0,,,0
FabrГ­cio,BRA,GK,RB Bragantino,23,1.0,0,0,0,0,0,0,0,0,0,,,0
Fagner,BRA,"DF,MF",Corinthians,34,10.1,4,1,1,5,10,0,43,10,12,,,0
Rodrigo Fagundes,BRA,DF,CriciГєma,36,32.0,9,0,0,35,12,2,5,50,33,,,0
Erick Farias,BRA,"MF,FW",Juventude,27,23.5,1,0,0,14,13,5,24,15,23,,,0
Luiz Felipe,BRA,DF,AtlГ©tico Goianiense,30,12.1,5,1,0,21,4,0,1,16,12,,,0
Marcos Felipe,BRA,GK,Bahia,27,33.3,2,0,0,1,6,0,0,0,1,,,0
