Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value,league
Zion Suzuki,JPN,GK,Parma,21,36,36,3240,36.8,53,1.47,143,95,66.4,7,15,14,7,19.4,5,5,0,0,0.0,20.0,IT1
Mile Svilar,SRB,GK,Roma,24,38,38,3420,38.0,35,0.92,149,118,79.2,20,9,9,16,42.1,4,4,0,0,0.0,25.0,IT1
Pietro Terracciano,ITA,GK,Fiorentina,34,3,3,270,3.0,3,1.0,14,10,78.6,0,3,0,1,33.3,0,0,0,0,0.0,1.0,IT1
Stefano Turati,ITA,GK,Monza,22,30,30,2676,29.7,52,1.75,141,93,64.5,2,7,21,2,6.7,4,2,2,0,50.0,6.5,IT1
Devis Vasquez,COL,GK,Empoli,26,32,32,2880,32.0,45,1.41,125,82,64.8,6,12,14,6,18.8,2,1,1,0,50.0,2.0,IT1
Ben Alexander Voll,GER,GK,St Pauli,23,2,1,91,1.0,2,1.98,6,4,66.7,0,1,0,0,0.0,0,0,0,0,0.0,0.5,L1
Noah Atubolu,GER,GK,Freiburg,22,26,26,2307,25.6,37,1.44,118,82,68.6,12,6,8,10,38.5,2,0,2,0,100.0,18.0,L1
Oliver Baumann,GER,GK,Hoffenheim,34,28,28,2520,28.0,53,1.89,137,88,62.8,6,8,14,4,14.3,5,2,3,0,60.0,3.0,L1
Tiago Cardoso,LUX,GK,Gladbach,18,5,4,380,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,0.0,1.5,L1
Finn Dahmen,GER,GK,Augsburg,26,19,19,1710,19.0,19,1.0,82,65,79.3,7,6,6,9,47.4,2,2,0,0,0.0,9.0,L1
Thomas Dahne,GER,GK,Holstein Kiel,30,9,9,810,9.0,19,2.11,52,36,67.3,2,2,5,0,0.0,3,2,1,0,33.3,0.4,L1
Patrick Drewes,GER,GK,Bochum,31,21,21,1890,21.0,46,2.19,94,53,54.3,3,4,14,3,14.3,5,3,2,0,40.0,0.5,L1
Frank Feller,GER,GK,Heidenheim,20,2,1,121,1.3,0,0.0,2,2,100.0,1,0,0,2,200.0,0,0,0,0,0.0,0.5,L1
Kamil Grabara,POL,GK,Wolfsburg,25,29,29,2585,28.7,49,1.71,137,89,65.7,9,7,13,5,17.2,3,2,1,0,33.3,14.0,L1
Peter Gulacsi,HUN,GK,RB Leipzig,34,30,30,2631,29.2,39,1.33,136,99,72.8,12,11,7,14,46.7,3,2,1,0,33.3,2.0,L1
Timo Horn,GER,GK,Bochum,31,13,13,1170,13.0,22,1.69,55,33,60.0,3,3,7,3,23.1,1,0,0,1,0.0,0.8,L1
Lukas Hradecky,FIN,GK,Leverkusen,34,29,29,2610,29.0,38,1.31,119,85,71.4,16,11,2,6,20.7,4,4,0,0,0.0,2.0,L1
Gregor Kobel,SUI,GK,Dortmund,26,32,32,2880,32.0,47,1.47,128,84,66.4,16,6,10,7,21.9,4,4,0,0,0.0,40.0,L1
